grado,frecuencia_entrada,frecuencia_salida
0,1797,631
1,2320,1280
2,910,1693
3,527,738
4,329,587
5,240,430
6,183,336
7,148,304
8,96,214
9,95,176
10,86,131
11,55,111
12,46,102
13,46,87
14,36,85
15,35,62
16,41,60
17,27,34
18,27,51
19,18,33
20,24,27
21,16,20
22,15,25
23,21,20
24,13,12
25,9,16
26,13,11
27,9,10
28,5,11
29,12,9
30,6,5
31,13,3
32,13,5
33,8,7
34,10,5
35,5,5
36,7,7
37,6,9
38,8,5
39,8,5
40,6,3
41,9,4
42,4,3
43,2,2
44,6,2
45,1,4
46,4,2
47,6,2
48,5,4
49,4,1
50,1,3
51,4,2
52,3,2
53,4,2
54,2,2
55,2,1
56,1,1
58,2,1
59,3,0
61,2,0
62,5,0
63,1,0
65,2,1
66,1,1
68,3,0
69,1,2
70,1,0
72,2,0
74,1,0
76,0,1
77,2,0
78,0,1
80,0,1
82,1,0
83,1,1
84,1,1
85,1,0
86,1,0
87,1,0
89,1,0
93,1,0
94,1,0
97,2,1
101,1,1
104,1,0
105,0,1
106,0,1
107,1,1
108,0,1
109,2,0
110,1,0
111,1,0
120,1,0
122,1,0
123,1,0
129,1,1
131,1,0
137,0,1
140,2,0
143,1,0
146,1,0
155,2,0
159,1,0
167,1,0
176,1,0
180,1,0
181,1,0
188,3,0
199,0,1
201,1,0
206,1,0
220,1,0
231,0,1
250,0,1
251,1,0
273,1,0
395,1,0
465,1,0
534,1,0
537,1,0
544,1,0
573,1,0
754,1,0
844,1,0
